Column1.symbol,open,.dayHigh,.lastPrice,.previousClose,.change,.yearLow,.totalTradedValue,.lastUpdateTime,nearWKH,.perChange365d,.chart365dPath,Column1.chartTodayPath
NIFTY 50,17533.85,17638.7,17599.15,17557.05,42.1,15183.4,2.35431E+11,06-Apr-2023 16:00:00,6.821671361,-0.23,https://static.nseindia.com/sparklines/365d/NIFTY-50.jpg,https://static.nseindia.com/sparklines/today/NIFTY-50.jpg
BAJFINANCE,5761,5959,5951,5761.3,189.7,5220,10228791014,06-Apr-2023 15:59:50,23.48932888,-18.63,https://static.nseindia.com/sparklines/365d/BAJFINANCE-EQ.jpg,https://static.nseindia.com/sparklines/today/BAJFINANCEEQN.jpg
ADANIENT,1705,1793.65,1752.6,1698,54.6,1017.45,10524292864,06-Apr-2023 15:59:47,58.17183771,-16.44,https://static.nseindia.com/sparklines/365d/ADANIENT-EQ.jpg,https://static.nseindia.com/sparklines/today/ADANIENTEQN.jpg
TATAMOTORS,426.5,439.3,437.15,426.55,10.6,366.2,4731124655,06-Apr-2023 15:59:43,11.57969256,-2.64,https://static.nseindia.com/sparklines/365d/TATAMOTORS-EQ.jpg,https://static.nseindia.com/sparklines/today/TATAMOTORSEQN.jpg
BAJAJFINSV,1279.3,1311.45,1305.45,1279.3,26.15,1072.72,2359109735,06-Apr-2023 15:59:22,29.20553145,-92.12,https://static.nseindia.com/sparklines/365d/BAJAJFINSV-EQ.jpg,https://static.nseindia.com/sparklines/today/BAJAJFINSVEQN.jpg
INDUSINDBK,1067.2,1093.45,1084,1067.2,16.8,763.2,3743148854,06-Apr-2023 15:57:59,15.03370434,11.25,https://static.nseindia.com/sparklines/365d/INDUSINDBK-EQ.jpg,https://static.nseindia.com/sparklines/today/INDUSINDBKEQN.jpg
M&M,1154,1175,1171.95,1155.45,16.5,822.3,2364454618,06-Apr-2023 15:59:52,16.1095204,40.39,https://static.nseindia.com/sparklines/365d/M&M-EQ.jpg,https://static.nseindia.com/sparklines/today/M&MEQN.jpg
HDFCLIFE,506.1,516.9,514.95,507.75,7.2,457.8,1239014557,06-Apr-2023 15:58:45,17.02384789,-7.93,https://static.nseindia.com/sparklines/365d/HDFCLIFE-EQ.jpg,https://static.nseindia.com/sparklines/today/HDFCLIFEEQN.jpg
SUNPHARMA,997.15,1014,1011.05,997.15,13.9,789.9,1434641445,06-Apr-2023 15:59:33,5.698829455,8.72,https://static.nseindia.com/sparklines/365d/SUNPHARMA-EQ.jpg,https://static.nseindia.com/sparklines/today/SUNPHARMAEQN.jpg
DIVISLAB,2889.8,2935,2926.7,2889.8,36.9,2730,898641513,06-Apr-2023 15:58:19,36.93544217,-34.33,https://static.nseindia.com/sparklines/365d/DIVISLAB-EQ.jpg,https://static.nseindia.com/sparklines/today/DIVISLABEQN.jpg
BPCL,329.3,333.5,332.2,328.05,4.15,288.05,790124787.6,06-Apr-2023 15:58:18,16.7001003,-12.82,https://static.nseindia.com/sparklines/365d/BPCL-EQ.jpg,https://static.nseindia.com/sparklines/today/BPCLEQN.jpg
EICHERMOT,2948.7,2970,2965,2933.75,31.25,2310,1733974395,06-Apr-2023 15:56:31,23.77206175,16.68,https://static.nseindia.com/sparklines/365d/EICHERMOT-EQ.jpg,https://static.nseindia.com/sparklines/today/EICHERMOTEQN.jpg
SBILIFE,1108.9,1120,1116,1105.55,10.45,1033.2,1068263518,06-Apr-2023 15:56:53,16.7381654,0.67,https://static.nseindia.com/sparklines/365d/SBILIFE-EQ.jpg,https://static.nseindia.com/sparklines/today/SBILIFEEQN.jpg
SBIN,524,533.7,527.7,523,4.7,430.7,13282795933,06-Apr-2023 15:59:57,16.17822254,2.47,https://static.nseindia.com/sparklines/365d/SBIN-EQ.jpg,https://static.nseindia.com/sparklines/today/SBINEQN.jpg
HDFC,2700,2734.8,2730,2705.95,24.05,2026,14362275088,06-Apr-2023 15:57:59,1.798561151,10.83,https://static.nseindia.com/sparklines/365d/HDFC-EQ.jpg,https://static.nseindia.com/sparklines/today/HDFCEQN.jpg
LT,2257.75,2291.65,2276.2,2257.75,18.45,1456.35,5436590043,06-Apr-2023 15:59:38,0.933562553,24.53,https://static.nseindia.com/sparklines/365d/LT-EQ.jpg,https://static.nseindia.com/sparklines/today/LTEQN.jpg
ADANIPORTS,637,651.35,641.65,636.75,4.9,395.1,4560333959,06-Apr-2023 15:59:50,35.04580655,-21.51,https://static.nseindia.com/sparklines/365d/ADANIPORTS-EQ.jpg,https://static.nseindia.com/sparklines/today/ADANIPORTSEQN.jpg
HDFCBANK,1648.55,1669.2,1666,1653.75,12.25,1271.6,37029801462,06-Apr-2023 15:59:17,2.138157895,9.86,https://static.nseindia.com/sparklines/365d/HDFCBANK-EQ.jpg,https://static.nseindia.com/sparklines/today/HDFCBANKEQN.jpg
MARUTI,8464,8535,8508,8447.05,60.95,7062.35,2624032872,06-Apr-2023 15:59:14,12.90817893,11.47,https://static.nseindia.com/sparklines/365d/MARUTI-EQ.jpg,https://static.nseindia.com/sparklines/today/MARUTIEQN.jpg
RELIANCE,2318.15,2354,2340.15,2325.85,14.3,2180,19917372533,06-Apr-2023 15:59:51,18.06627803,-8.99,https://static.nseindia.com/sparklines/365d/RELIANCE-EQ.jpg,https://static.nseindia.com/sparklines/today/RELIANCEEQN.jpg
GRASIM,1664.15,1674,1667.35,1659.25,8.1,1276.6,1064473531,06-Apr-2023 15:58:44,9.358521337,-0.77,https://static.nseindia.com/sparklines/365d/GRASIM-EQ.jpg,https://static.nseindia.com/sparklines/today/GRASIMEQN.jpg
DRREDDY,4693.95,4711.2,4701,4682.8,18.2,3789.85,1370989410,06-Apr-2023 15:57:40,0.216505349,8.85,https://static.nseindia.com/sparklines/365d/DRREDDY-EQ.jpg,https://static.nseindia.com/sparklines/today/DRREDDYEQN.jpg
TATACONSUM,727.3,731.45,730,727.4,2.6,686.6,537971068.6,06-Apr-2023 15:58:34,15.22963479,-9.24,https://static.nseindia.com/sparklines/365d/TATACONSUM-EQ.jpg,https://static.nseindia.com/sparklines/today/TATACONSUMEQN.jpg
HINDALCO,401,406.5,404.5,403.3,1.2,308.95,1685224493,06-Apr-2023 15:59:30,31.55089263,-29.49,https://static.nseindia.com/sparklines/365d/HINDALCO-EQ.jpg,https://static.nseindia.com/sparklines/today/HINDALCOEQN.jpg
ITC,386.65,390.3,387.5,386.4,1.1,249.15,4989333502,06-Apr-2023 15:59:55,1.649746193,50.93,https://static.nseindia.com/sparklines/365d/ITC-EQ.jpg,https://static.nseindia.com/sparklines/today/ITCEQN.jpg
BAJAJ-AUTO,4028,4065,4033.3,4023.15,10.15,3460,1300336917,06-Apr-2023 15:57:02,2.382767592,6.08,https://static.nseindia.com/sparklines/365d/BAJAJ-AUTO-EQ.jpg,https://static.nseindia.com/sparklines/today/BAJAJ-AUTOEQN.jpg
KOTAKBANK,1750,1761.45,1755.95,1751.9,4.05,1631,2732628524,06-Apr-2023 15:58:14,12.09481615,-0.53,https://static.nseindia.com/sparklines/365d/KOTAKBANK-EQ.jpg,https://static.nseindia.com/sparklines/today/KOTAKBANKEQN.jpg
BHARTIARTL,762.6,768.7,765.1,763.45,1.65,628.75,1360317018,06-Apr-2023 15:59:58,11.09174365,0.47,https://static.nseindia.com/sparklines/365d/BHARTIARTL-EQ.jpg,https://static.nseindia.com/sparklines/today/BHARTIARTLEQN.jpg
ULTRACEMCO,7690,7730,7700,7691.95,8.05,5157.05,1754519769,06-Apr-2023 15:59:27,0.478221533,14.33,https://static.nseindia.com/sparklines/365d/ULTRACEMCO-EQ.jpg,https://static.nseindia.com/sparklines/today/ULTRACEMCOEQN.jpg
ASIANPAINT,2807.45,2825,2810.9,2808.5,2.4,2560,1763640108,06-Apr-2023 15:59:53,21.54679171,-10.94,https://static.nseindia.com/sparklines/365d/ASIANPAINT-EQ.jpg,https://static.nseindia.com/sparklines/today/ASIANPAINTEQN.jpg
APOLLOHOSP,4217,4225,4203,4200.95,2.05,3361.55,1205153918,06-Apr-2023 15:57:41,14.28833624,-7.37,https://static.nseindia.com/sparklines/365d/APOLLOHOSP-EQ.jpg,https://static.nseindia.com/sparklines/today/APOLLOHOSPEQN.jpg
INFY,1416,1428.4,1422.35,1423.55,-1.2,1355,9865222153,06-Apr-2023 15:59:47,24.72745555,-21.49,https://static.nseindia.com/sparklines/365d/INFY-EQ.jpg,https://static.nseindia.com/sparklines/today/INFYEQN.jpg
CIPLA,899,899.75,894.9,895.75,-0.85,852,1351565716,06-Apr-2023 15:59:51,24.49694157,-13.83,https://static.nseindia.com/sparklines/365d/CIPLA-EQ.jpg,https://static.nseindia.com/sparklines/today/CIPLAEQN.jpg
NESTLEIND,19795,19840,19776.65,19822.05,-45.4,16000,807212099.3,06-Apr-2023 15:58:04,6.049168646,8.36,https://static.nseindia.com/sparklines/365d/NESTLEIND-EQ.jpg,https://static.nseindia.com/sparklines/today/NESTLEINDEQN.jpg
NTPC,176.4,176.6,175.35,175.9,-0.55,134.95,1257240107,06-Apr-2023 15:59:20,4.154140476,14.14,https://static.nseindia.com/sparklines/365d/NTPC-EQ.jpg,https://static.nseindia.com/sparklines/today/NTPCEQN.jpg
POWERGRID,227.2,227.4,224.9,225.65,-0.75,186.35,725144442.8,06-Apr-2023 15:59:50,9.442319307,-2.64,https://static.nseindia.com/sparklines/365d/POWERGRID-EQ.jpg,https://static.nseindia.com/sparklines/today/POWERGRIDEQN.jpg
TATASTEEL,104.85,105.1,104.5,104.85,-0.35,82.7,2201593984,06-Apr-2023 15:59:55,24.64123459,-92.27,https://static.nseindia.com/sparklines/365d/TATASTEEL-EQ.jpg,https://static.nseindia.com/sparklines/today/TATASTEELEQN.jpg
HEROMOTOCO,2432.2,2438.2,2423,2432.2,-9.2,2242.4,512228984.8,06-Apr-2023 15:57:10,17.54577009,3.23,https://static.nseindia.com/sparklines/365d/HEROMOTOCO-EQ.jpg,https://static.nseindia.com/sparklines/today/HEROMOTOCOEQN.jpg
COALINDIA,222.45,223.15,221.6,222.5,-0.9,164.65,1017376189,06-Apr-2023 15:59:55,15.86940015,16.23,https://static.nseindia.com/sparklines/365d/COALINDIA-EQ.jpg,https://static.nseindia.com/sparklines/today/COALINDIAEQN.jpg
JSWSTEEL,688,688,683.55,686.55,-3,520.05,496775097.1,06-Apr-2023 15:56:48,13.47468354,-6.23,https://static.nseindia.com/sparklines/365d/JSWSTEEL-EQ.jpg,https://static.nseindia.com/sparklines/today/JSWSTEELEQN.jpg
WIPRO,369,370.45,367.6,369.75,-2.15,355,1181955942,06-Apr-2023 15:59:41,39.68826907,-36.88,https://static.nseindia.com/sparklines/365d/WIPRO-EQ.jpg,https://static.nseindia.com/sparklines/today/WIPROEQN.jpg
BRITANNIA,4327.8,4327.8,4300,4327.55,-27.55,3132.05,897833871.9,06-Apr-2023 15:59:16,7.907136126,30.53,https://static.nseindia.com/sparklines/365d/BRITANNIA-EQ.jpg,https://static.nseindia.com/sparklines/today/BRITANNIAEQN.jpg
TCS,3225,3257.35,3218.9,3239.8,-20.9,2926.1,5500791880,06-Apr-2023 15:59:58,16.07831891,-12.58,https://static.nseindia.com/sparklines/365d/TCS-EQ.jpg,https://static.nseindia.com/sparklines/today/TCSEQN.jpg
HINDUNILVR,2575,2585,2564,2582.75,-18.75,2047,2047456135,06-Apr-2023 15:58:47,6.477969069,18.5,https://static.nseindia.com/sparklines/365d/HINDUNILVR-EQ.jpg,https://static.nseindia.com/sparklines/today/HINDUNILVREQN.jpg
UPL,734,734,726.6,732.3,-5.7,607.5,1012591461,06-Apr-2023 15:58:52,14.31603774,-9.61,https://static.nseindia.com/sparklines/365d/UPL-EQ.jpg,https://static.nseindia.com/sparklines/today/UPLEQN.jpg
TECHM,1104,1104.95,1093.1,1103.5,-10.4,943.7,1480753352,06-Apr-2023 15:59:36,28.20361248,-25.59,https://static.nseindia.com/sparklines/365d/TECHM-EQ.jpg,https://static.nseindia.com/sparklines/today/TECHMEQN.jpg
TITAN,2583,2584,2548,2572.7,-24.7,1825.05,3048899247,06-Apr-2023 15:59:21,8.70655679,3.67,https://static.nseindia.com/sparklines/365d/TITAN-EQ.jpg,https://static.nseindia.com/sparklines/today/TITANEQN.jpg
AXISBANK,861.8,863.25,851.3,860.5,-9.2,618.25,16808560100,06-Apr-2023 15:59:24,12.2371134,7.56,https://static.nseindia.com/sparklines/365d/AXISBANK-EQ.jpg,https://static.nseindia.com/sparklines/today/AXISBANKEQN.jpg
ICICIBANK,882,890.1,875,884.6,-9.6,669.95,22906156792,06-Apr-2023 15:59:39,8.682947193,16.89,https://static.nseindia.com/sparklines/365d/ICICIBANK-EQ.jpg,https://static.nseindia.com/sparklines/today/ICICIBANKEQN.jpg
ONGC,153.2,153.45,150.7,152.9,-2.2,119.85,1612058302,06-Apr-2023 15:58:36,16.18464961,-10.81,https://static.nseindia.com/sparklines/365d/ONGC-EQ.jpg,https://static.nseindia.com/sparklines/today/ONGCEQN.jpg
HCLTECH,1109.05,1109.05,1093.05,1111.2,-18.15,877.35,2605744952,06-Apr-2023 15:58:13,9.139650873,-6.94,https://static.nseindia.com/sparklines/365d/HCLTECH-EQ.jpg,https://static.nseindia.com/sparklines/today/HCLTECHEQN.jpg
cookie
FB83FB83F09E5C52AA96FB84E1B47546B915~YAAQTVvvdQmQiBOHAQAA5svSUBPnaMUYhFpttQvhKbmdAM6fSK8Kk/Trzbx8FGgU3ohwFg1tWV1ux1jAubQFuoaRjHOfpIT9jM/ORUhDJWVM/pgHfaCl95k9moz5jDUmXUi0NRMROrUdRBhGPNn+zTo9ZlUSt6DxZpq0EMASG5udKQNdSbv+4v0N+uUAwmJs0yt53XG8H8P4GqXXyhXiwublo+RbQA++tGXvzYhOXPL30F9yfaeXWKtcWkdOdAQmUFHYNg=F09E5C52AA96FB84E1B47546B915~YAAQTVvvdQmQiBOHAQAA5svSUBPnaMUYhFpttQvhKbmdAM6fSK8Kk/Trzbx8FGgU3ohwFg1tWV1ux1jAubQFuoaRjHOfpIT9jM/ORUhDJWVM/pgHfaCl95k9moz5jDUmXUi0NRMROrUdRBhGPNn+zTo9ZlUSt6DxZpq0EMASG5udKQNdSbv+4v0N+uUAwmJs0yt53XG8H8P4GqXXyhXiwublo+RbQA++tGXvzYhOXPL30F9yfaeXWKtcWkdOdAQmUFHYNg=
FB83F09E5C52AA96FB84E1B47546B915~YAAQTVvvdQmQiBOHAQAA5svSUBPnaMUYhFpttQvhKbmdAM6fSK8Kk/Trzbx8FGgU3ohwFg1tWV1ux1jAubQFuoaRjHOfpIT9jM/ORUhDJWVM/pgHfaCl95k9moz5jDUmXUi0NRMROrUdRBhGPNn+zTo9ZlUSt6DxZpq0EMASG5udKQNdSbv+4v0N+uUAwmJs0yt53XG8H8P4GqXXyhXiwublo+RbQA++tGXvzYhOXPL30F9yfaeXWKtcWkdOdAQmUFHYNg=
